0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
JNJ,0.0150780730538,0.151423673283,3.07052355298e-05,-0.0150734300331,-2.08578820349,0.80640475333,0.0485986138774,0.717729691837,-0.388396761471,0.451641741175,-0.007065267837,0.268904263286,0.0370232105004,0.156816659097,0.75701903426,-4.23283705159,0.230904079373,3.45854429125,-0.838178226283,-0.0120767024396,0.000331116801837,0.00259711354052,0.000702315980804,0.000662378363358,1.85132644044,1.55082284283,0.86844462285,0.996108204899,0.778441014713,0.91295637554,0.612890531066,0.799439294117,0.5882624729,0.778080098099,0.793239624605,1.04289361055,1.26200906315,3.32282126219,3.02935255548,1.68631184065,,,,,,,,,,,,,,,,,,,,,0.00019913514895,31598214,19
LEG,0.00116317749146,0.0102746104099,7.67266816318e-05,-0.00115514333695,-0.0324607307915,-0.0605851240792,-0.0460941703486,-0.0729938525583,-0.014598947013,-0.00746792910276,0.017177409604,0.00527481841714,0.00739772165255,0.013727937673,-0.00296757241774,-0.00704744652945,0.00844534380311,-2.33608407354,-0.0737878838725,-0.326199804869,2.92834958509e-05,0.000252038959763,6.20026169508e-05,5.86230111539e-05,0.0526727705271,0.0652626111653,0.050064112597,0.0622828216519,0.0489302018299,0.0608520377804,0.0481252978191,0.0607531623201,0.0476199747205,0.0607438507017,0.0524971781304,0.0663069251119,0.220034237962,0.75687125712,0.151111277083,0.304972448256,,,,,,,,,,,,,,,,,,,,,0.000693272531326,5364725,19
WAL,0.000620995026019,0.00288821119041,3.09084884116e-05,-0.000610959811135,-0.0200633429245,0.0132635508706,-0.0352882953321,0.00605661870081,0.0110108921647,0.00696608372495,-0.00240259542039,0.0061738206371,0.00607048330355,0.00778364615681,0.00758465805511,0.0139293405958,-0.0103432052877,-0.0781626082978,-0.00555321024056,0.467933885202,1.98505605211e-05,0.000120665284051,4.14299560689e-05,3.93380588189e-05,0.0335697215551,0.0315206755418,0.0332100241775,0.0299710835397,0.0329644468594,0.0297024929272,0.0326729824639,0.0296180353605,0.0325625643183,0.0295621915171,0.0328601295986,0.0302165058064,0.0351216623397,0.0395275690926,0.0357824311384,0.155811509481,,,,,,,,,,,,,,,,,,,,,0.000709729033819,2694175,19
RGC,0.000360879338609,0.00414876061601,2.17380217813e-05,-0.000358290607168,-0.0137332439762,-0.0347452686324,-0.0188982901549,-0.00204260572897,-0.0176409651077,0.00286071876234,-0.0142142905364,-0.00487590368622,-0.0084512013059,-0.0130343092407,-0.0105024358164,-0.0172849833574,-0.0484276362211,-0.0476999463358,0.00256104530012,-0.267433930662,9.49791475892e-06,7.29663715796e-05,1.94822428669e-05,1.78685067136e-05,0.0212221902496,0.0239492989741,0.0210270824265,0.0221540988179,0.0208080598118,0.0216205039284,0.0204736166899,0.0214361795338,0.0202300821091,0.0213056196915,0.0201527501679,0.0215691942242,0.023260746247,0.0257118570976,0.0466353043447,0.0847341962491,,,,,,,,,,,,,,,,,,,,,0.0021105949947,2552701,19
SWC,5.29252791507e-05,0.000373789266917,2.27194428295e-06,-5.11254587768e-05,0.00422453272185,-0.035855361896,0.00188508085526,0.0236266689694,0.00252063085722,0.00416373705664,0.000495957902437,0.00384626256305,0.00102712066835,0.000713382534778,-0.000107720961969,0.0011104238017,5.55602922774e-05,-0.000967746206498,1.95757490192e-05,-0.00185924744353,1.92566819326e-06,1.3116922807e-05,3.84058841084e-06,3.42680555348e-06,0.00358779091664,0.00542344296777,0.00348159083841,0.00527207854972,0.00336188640043,0.00497111261514,0.00290270363851,0.00469092972967,0.00302891633574,0.00457682868829,0.00302907099125,0.00457127960635,0.00315524862334,0.00469672442481,0.00331774554559,0.00509858647581,,,,,,,,,,,,,,,,,,,,,0.00141564904871,1581391,19
QTS,0.00160282856538,0.01001514681,0.000141959026439,-0.00154317664699,-0.0175350372267,0.00828797483923,-0.0142654097122,0.00780313230883,-0.0062485261955,0.0133830600325,-0.00938389055874,0.00750565814167,-0.00789747120525,0.00209980643815,-0.0120644785665,-0.00501592819263,-0.3848271741,-0.238673450264,-0.30494210182,0.634898311853,6.9118839741e-05,0.000406808328452,0.000156978226212,0.000150281687475,0.0742656180022,0.0642051674927,0.0710085271379,0.0598837189571,0.0721479071246,0.0594644181481,0.070550292145,0.0585664073711,0.0702781762458,0.0581989938732,0.0710878771686,0.0602217577069,0.11529491408,0.110311792904,0.222770364963,1.49277090652,,,,,,,,,,,,,,,,,,,,,0.00181046723734,778894,19
SFL,0.000272668193529,0.00112733884343,2.94687497425e-05,-0.000269162471578,-0.00565744176598,-0.012484729963,-0.00771575912655,-0.00626209437759,-0.00336307889442,-0.00864590651141,-0.00257392872654,-0.0019236091969,-0.00270447023796,-0.0082866362468,0.00381126868591,-0.00600762434222,-0.0190247356487,-0.0148944414987,0.0112992800563,-0.0114198406961,7.49725307584e-06,4.35707158355e-05,1.47500433088e-05,1.27719221246e-05,0.0172666001063,0.0241814637588,0.0168040224713,0.0228180930357,0.0165236488096,0.0217234122074,0.0164414890068,0.021732067581,0.0163900365993,0.0216696582686,0.0165573945617,0.0218011222784,0.0193570271416,0.0234641587446,0.0228800324707,0.0256286496422,,,,,,,,,,,,,,,,,,,,,0.00171184032206,1409506,19
MOD,4.17123688009e-05,8.40999903248e-05,-9.32981188122e-07,-3.4549836065e-05,0.00122304074788,-0.000304666796774,0.000342101047942,-0.000589895764988,0.000293457434378,0.000168995180654,0.000187555223596,0.000512540702076,0.000407149836369,0.00028379500563,0.000395042081167,0.000442527789966,0.000381044350174,0.000349177139591,-0.00411152108932,-0.00376204364048,2.08468295326e-06,1.22765452527e-05,4.03345063371e-06,3.74113969961e-06,0.00181280111626,0.00261692574492,0.00169932569406,0.00258005413088,0.00169355718433,0.0025751486579,0.00168330005157,0.00256751280285,0.00167448396945,0.00256104362851,0.00168561468912,0.00256120502442,0.0018228368229,0.00260897072856,0.00304123211711,0.00453329011903,,,,,,,,,,,,,,,,,,,,,0.00101835931956,522374,19
SFG,0.0377608067554,0.0761744636167,0.00169863584279,-0.0376023920024,0.241481343478,-0.0814709001135,0.299137822434,0.0594868290146,0.253760877807,0.119149337671,0.271738164209,0.359590757713,0.327279979216,-0.235627674353,-0.118997079924,-1.1398819396,-0.801601056298,-60.5011935844,-10.625649484,-23.1516681668,0.00110902031894,0.00498321038771,0.00255801672388,0.00236543174377,0.957565477244,0.963818223613,0.94048900214,0.946625493284,0.94391963577,0.956476333174,0.955362579012,0.968362945554,0.988622690037,0.978937790315,1.30267141648,1.3877719299,8.59539480644,10.4425357634,6.77512894268,8.13261944944,,,,,,,,,,,,,,,,,,,,,0.00460186998145,381220,19
PBT,7.86738612384e-05,0.000498781261236,-7.20843534191e-06,-6.36802395989e-05,0.00112677962165,0.000427432057885,0.00109004417579,0.000650236254357,0.000655393971001,0.000138792604916,0.000823050693258,0.000526784966697,0.00103235666087,7.2479746198e-05,0.00109423568236,8.77090818385e-05,0.000873420287669,0.000106333909289,0.000600780477779,2.04913322492e-05,3.31837323419e-06,3.2209860384e-05,7.33840339105e-06,7.13430556852e-06,0.0031901495899,0.0099072164756,0.00318760149182,0.00989085777607,0.00318204237564,0.00988929507278,0.00317525568922,0.00988415562926,0.00317143605439,0.00988261133081,0.00317333146763,0.00987749662442,0.00323213257391,0.00989876000208,0.0035352568974,0.0100662129341,,,,,,,,,,,,,,,,,,,,,0.00297146949852,302978,19
