0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
UPS,0.0893164287024,-0.0755619463404,0.122691642362,-0.086249677378,-4.22514448369,-3.2128884032,-3.69921023123,-4.64597457041,-2.53592725041,0.0938000745176,-3.4981019114,0.352760241672,-5.84671322449,0.128568248659,-21.3301703746,-0.299877712658,-10.5793177771,0.0950017430412,3.58560972629,2.14402375678,0.00193426838194,0.0143722465633,0.0042370705555,0.00406127025313,3.64707955341,3.9029192441,3.29554530447,3.28263919252,3.25309051167,3.20013412009,3.16712212719,3.13790600538,3.13461122766,3.10073624474,3.73333264788,3.71733725236,5.96009272275,5.4238354569,4.61736274067,6.97158522532,,,,,,,,,,,,,,,,,,,,,0.000436436499029,12126544,19
SKX,0.00292318842846,-0.000788876585684,0.00189123098982,-0.00158499951586,-0.00445462156283,-0.0185451665252,-0.0013919585702,-0.0335318876178,-0.0142167381065,0.0164363882066,-0.00285503295405,0.0215557556022,-0.00144271021812,0.0239363626944,-0.00365305477611,0.0277426012857,-0.0366475125819,-0.123349405547,-0.0289964938118,-0.238289700814,1.74969381225e-05,0.000128332264439,4.27006044991e-05,4.18313823439e-05,0.0296667200875,0.0372562484145,0.0254779388558,0.0346370623151,0.024604392498,0.0336813043765,0.0239705340063,0.0334303587848,0.023660435978,0.0331414493824,0.0236726945527,0.0332595111512,0.0263472369274,0.0408063432797,0.0354035110768,0.0495924137574,,,,,,,,,,,,,,,,,,,,,0.00869117261427,6509038,19
AON,0.0454512010581,-0.0297357415489,0.0513626441792,-0.0420109051071,0.112446581949,-0.422371897136,0.127617312565,-0.283243621808,0.220492288687,-0.301300173895,0.248033176463,-0.286392664077,0.219425232015,-0.335225635942,-0.731468429427,-2.31515751287,1.0062870559,-5.62572937314,0.351302821628,-5.84008061996,0.000488228258088,0.00374042254485,0.00121588086073,0.00119192575185,0.307561618829,0.467065055264,0.294127527238,0.412160105578,0.28804607084,0.407910533257,0.283492043799,0.412647225333,0.280046210757,0.409323583602,0.422973211027,0.479639285531,0.586250997929,0.598196907733,2.18660626836,6.83766185145,,,,,,,,,,,,,,,,,,,,,0.00495296800847,3830946,19
KEX,0.0480410461841,-0.0396877927409,0.0587716031891,-0.0431783680989,0.371375982455,-0.311892503275,0.0900207141729,-0.505662592078,0.119328657597,0.0284303757593,0.580165647477,0.189364959679,0.617059959505,0.256885216959,0.496718498298,0.191752959063,0.121158454262,-0.120907808347,0.079632399007,-0.206684314797,0.000421738174649,0.00269732407087,0.00093439669278,0.000899330652158,0.371079368961,0.413610402877,0.363230367713,0.379619859898,0.356569389124,0.371890648465,0.346817627076,0.36739444059,0.342948547941,0.365502470648,0.350667873914,0.367993679612,0.389284644081,0.413823462384,0.415756766315,0.474949679704,,,,,,,,,,,,,,,,,,,,,0.0131260071721,2243048,19
KEYS,0.00279995662263,-0.000378736014213,0.00327950041573,-0.0023679355381,-0.0199175837101,0.00223356769649,-0.0280004425524,0.0135834885032,0.00353455868437,0.0120818808173,0.0220903476355,0.0107024278102,0.0176733868261,0.0101298177675,-0.00976646132967,-0.071761456074,0.0152767705127,-0.04278463079,0.012863351183,0.0553298865599,6.30709657959e-05,0.000522711915574,0.00013390447976,0.000126544717189,0.073294101311,0.0899146264401,0.0682761996334,0.0845098955027,0.0678733572179,0.0833501000423,0.0678229493994,0.0830157652019,0.0674707371687,0.0829165336573,0.0733264228315,0.0873676975745,0.111018265551,0.276235032559,0.110457023466,0.748959159157,,,,,,,,,,,,,,,,,,,,,0.00138006125967,3155232,19
PLT,0.00465150881926,-0.000334074473512,0.00254904283878,-0.00209095524716,-0.0119594106936,-0.0318479126732,-0.00547350856205,-0.0291856977804,0.0203301805074,-0.0104966843106,0.022256777603,0.035646193021,0.018662205995,0.0348908631498,0.0175487853759,0.0371549327902,0.0551498503649,0.181891701434,-0.151757202749,-0.199288184087,4.72584251936e-05,0.000433259958935,0.000107142460053,0.000103444019795,0.0450068368631,0.0475044601997,0.0440153680012,0.0463061449535,0.0439647467839,0.0460484949131,0.0438025088057,0.045457182154,0.043562164374,0.0452295889469,0.0434318825937,0.0455709161834,0.114799590872,0.274470436974,0.067701142742,0.0883505214836,,,,,,,,,,,,,,,,,,,,,0.0154500099567,1230865,19
LEN-B,0.0020476948751,0.000318241041438,-0.000226204612632,0.000182624284995,-0.000152130708326,0.000227258768985,-0.000130972681283,0.000224156178677,-0.000124046746776,0.000240824118116,-0.000130908985663,0.0002628163975,-9.0159389098e-05,0.000261165724736,-0.000276010578615,6.04006515289e-06,-0.000725006596903,-0.000579784534506,-0.000393195713309,0.0140348474258,3.31898534446e-06,7.53990758656e-05,9.18611988141e-06,9.07674597311e-06,0.00165014732063,0.00114207921552,0.00164986122412,0.00113960055317,0.00164615001629,0.00114053364345,0.00164721099464,0.00114416917389,0.0016450374498,0.00114655957927,0.0016795747543,0.00115620039416,0.00183550454493,0.00139633739658,0.00565089292047,0.0315008040787,,,,,,,,,,,,,,,,,,,,,0.270480471303,2049801,19
PGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239436,19
MCZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183192,19
NPK,0.0267335058951,0.0245260913385,0.00551274444247,-0.00593524166019,0.0145687788373,0.00177536836796,0.0144950899996,-0.00402383711273,0.0182316509457,-0.00433045364928,0.0184122075022,-0.000976248177247,0.0181451756363,-0.00541885366586,0.0168846925732,-0.00645968107936,-0.00923916051717,-0.0788595955928,-0.0347803439837,-0.0852147122571,0.000201042150967,0.00381942907464,0.0006857762498,0.000682715116522,0.0704439203002,0.072815850638,0.0704901492948,0.0735083520216,0.0696584605498,0.072921059236,0.0693502868989,0.0725853458826,0.0691673021613,0.0724475626317,0.0694523744507,0.0728067219391,0.0725874316125,0.0793454756755,0.0751133569038,0.0834863505942,,,,,,,,,,,,,,,,,,,,,0.0527485608678,618107,19
