0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
BCE,0.0079712937041,-0.00487181885346,0.0132648082483,-0.0078412543005,-0.356583525309,0.0334190758112,-0.173914673962,0.00112453600629,-0.005482578055,0.0824452352626,0.0375506452667,0.103854738381,-0.125572823724,0.165380440461,-0.405914381382,-0.431289399101,-1.40966433214,-2.31279774595,2.69279256422,1.18351959228,5.62923270082e-05,0.000627440329714,0.000121484594573,0.000109538730932,0.834582600752,0.540616000309,0.826439647212,0.538957909929,0.825638408766,0.53910891828,0.825338667191,0.538685365993,0.824685881106,0.53835147758,0.826323055596,0.539645796507,0.834353381884,0.699392037599,1.61689503018,1.7595762944,,,,,,,,,,,,,,,,,,,,,0.00639033187356,7925577,19
OAS,0.000132070650148,-1.70880673547e-06,6.81130522193e-05,-4.027294802e-05,0.0132106621082,-0.00080929454845,0.0142964392388,0.00283225304118,0.0158127527432,-0.00173719115253,0.0161623420503,-0.000170429762894,0.0154835541828,-0.000427356727215,0.0146302321367,-4.25509364267e-05,0.0143685977767,0.000484567569552,0.0131734221383,-6.69079154076e-05,6.59681268599e-07,4.13712965938e-06,1.29882587983e-06,1.14648061064e-06,0.00156616604773,0.00213522687869,0.00152965311646,0.00191602550273,0.00153846250799,0.00149978018759,0.00129811184946,0.000986061810216,0.00113408989367,0.000655896499334,0.0011036757297,0.000627356199509,0.00109143328851,0.000611192473358,0.00106962875698,0.000638153287504,,,,,,,,,,,,,,,,,,,,,0.0145495917376,5591608,19
LEG,0.00486306376727,0.0111966063822,0.00446458088879,-0.00464107162818,-0.0791467414433,-0.038372334476,-0.0093635105532,0.0529528060759,-0.0589774707418,0.020673452275,0.013692366591,0.0941196995346,0.0287554487837,0.0321329726356,-0.0429700523179,-0.0394582064203,-0.0485498264949,0.033855702587,-0.715119531169,-0.94492936908,0.000117260619699,0.000929084804529,0.000259415619952,0.000249256301195,0.162687720857,0.202257884278,0.140643742642,0.190809225532,0.1304396363,0.189411063237,0.125120414679,0.189870995297,0.123553027031,0.18857356841,0.142589954834,0.203069417672,0.256616490159,0.327245974171,1.39449154299,2.05873907125,,,,,,,,,,,,,,,,,,,,,0.0007867103413,4062115,19
TSU,5.1989797411e-05,7.32948438023e-05,2.94123562314e-05,-2.46645136466e-05,0.00202059725959,0.00117751036236,0.000422008621155,0.00113850783143,0.00162711604488,0.00263126185439,0.0019787272928,0.000941459013345,0.00129408012862,0.00128846026953,0.00190964548134,0.00185153501435,0.00178147619899,0.00169333383787,-0.00171081399533,-0.0696724850451,8.95365986204e-07,7.47028795293e-06,1.91108019686e-06,1.74630378783e-06,0.00321953444775,0.00345777696345,0.0029991527215,0.00331709575952,0.00296402835516,0.00326662274699,0.00293558733007,0.00326868964726,0.00289446537836,0.00322823521679,0.00288948070939,0.00323744046853,0.00293097138541,0.00354142024732,0.00354163907401,0.0320967529911,,,,,,,,,,,,,,,,,,,,,0.00229463683528,2741965,19
NWE,0.00116474796891,0.00319086377859,0.000274018648208,-0.000505112372138,-0.040797033041,-0.00834165647157,-0.00210773062136,0.00123809280899,0.0038810067909,-0.00575036236347,-0.0015021567239,-0.0022661045935,0.00191012780278,-0.00343198476086,0.00398356004388,0.00623460753955,-0.0314308178197,-0.00355142547248,-0.140286583266,-0.202588049272,2.10416019052e-05,0.000212432018128,5.57579330996e-05,5.4977544482e-05,0.0185671992846,0.0191543057892,0.0176546513145,0.0185142692592,0.0174013423647,0.0184464244885,0.0172368171405,0.0182550461622,0.0171178983453,0.0181436488116,0.0174262876995,0.0189598536674,0.0826001459951,0.0225879184535,0.0897913215569,0.0543828819613,,,,,,,,,,,,,,,,,,,,,0.00283130043121,1891262,19
URG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746045,19
JW-A,0.000791476626158,0.000360159003371,6.1154922072e-05,-0.000258831094508,-0.000645958262309,-0.00109362608302,-0.00121948773471,-3.63344063429e-05,-0.00335990480221,-0.00108986865914,0.002653854102,-0.00140838592115,0.00123467967016,-0.00168224861363,-0.00423318597475,-0.0451767850358,-0.0150288637065,-0.0314325517144,0.0519049115146,-0.147710780124,1.18144706667e-05,0.000102129744992,2.88259455351e-05,2.8214659959e-05,0.00606243862418,0.00625867433304,0.0059443883518,0.00611977526922,0.00596525599673,0.00609518753972,0.00581333590634,0.00603497476997,0.00577585494433,0.00598544706401,0.00626560087172,0.00871807836894,0.0119612699516,0.0220605521227,0.0336343670557,0.0574823724591,,,,,,,,,,,,,,,,,,,,,0.00658590433481,1079229,19
TRQ,2.63727032134e-05,-1.50930014996e-05,5.92413401082e-05,-1.88783140881e-05,0.000745057830529,-0.00448810852663,0.000403104499779,-0.00407903370233,0.00101751860259,-0.00474977936751,0.00054832075876,-0.00472980253928,0.000969585654717,-0.00443956137834,0.00104199840671,-0.00417635196139,-0.00361470909009,0.000793887731716,-0.00613022609271,0.00289373271858,4.86970116998e-07,3.33394194734e-06,1.06497210685e-06,8.27740037191e-07,0.000499532961666,0.00193768636925,0.00064695294099,0.00195089532295,0.00046688740913,0.00192198513733,0.000424799106656,0.0019036276705,0.000365463509757,0.00188990201027,0.000317048715248,0.00188748211219,0.000426115391704,0.0018489878454,0.000820039875722,0.00189972540634,,,,,,,,,,,,,,,,,,,,,0.00845371818742,1155706,19
DNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784159,19
GHM,0.000684870353541,0.00148584997478,3.5949307997e-05,-0.000200540109983,0.00158280432192,-0.00061847689561,0.00144803591521,-0.000140205620513,0.00153712049353,-4.63630390423e-05,0.00145042350088,8.45412216106e-05,0.00147831354104,-7.91068342541e-05,0.00156408102638,-0.00136407975604,0.00149851185568,-0.00293684046708,-0.000416605508464,-0.00466689683129,1.45851978578e-05,0.000205512684763,3.47460442889e-05,3.38188353921e-05,0.00955485107868,0.00710690852297,0.00954969502576,0.00699823790814,0.0095328579103,0.00696213666676,0.00951722595558,0.00695473553656,0.00950749169621,0.00694653619612,0.00950789082145,0.00692388487984,0.0100130542572,0.00828444810964,0.0151283518426,0.0176050699751,,,,,,,,,,,,,,,,,,,,,0.00544631769725,648654,19
